customer_id,full_name,phone_number,loyalty_points
1,Shaun Runolfsdottir,0623685303,573
2,Alfonso Willms,0280389688,338
3,June Abernathy-Runolfsson I,0894303920,801
4,Lindsey Wiza-Stokes,0278295166,48
5,Laverne Flatley,0643190539,828
6,Owen Considine,0916108119,893
7,Ed Brekke,0418667584,850
8,Benjamin Stroman,0482128399,357
9,Arnold Collins I,0657812187,830
10,Roxanne Sanford,0963527232,708
11,Ben Gibson,0183993378,965
12,Edna Ward,0617824116,521
13,Maggie Hessel,0376750246,391
14,Sue Labadie,0517596982,518
15,Sarah Kuvalis,0163186701,479
16,Corey Mitchell,0532289049,283
17,Miriam Deckow,0927882536,200
18,Dr. Harvey Rosenbaum Sr.,0999840041,152
19,Isabel O'Hara,0000952918,193
20,Garrett Jones,0555689824,252
21,Sammy Orn-Collins,0077965680,791
22,Gene Kshlerin,0993304348,359
23,Dawn Lubowitz,1-315-462-9357,576
24,Vicky O'Reilly,0822305815,449
25,Thomas Simonis,0855306987,870
26,Juan Rogahn III,0441969446,71
27,Crystal Swaniawski DVM,901.722.0045,371
28,Cory Corwin,0189063218,842
29,Mr. Clint Fahey-Simonis,0663981143,950
30,Traci Schamberger DVM,0891031354,292
31,Jan Bailey DDS,0331659724,533
32,Dr. Nick Glover,0222433986,458
33,Bruce Kemmer,0188371719,781
34,Fernando Raynor-Predovic,0725809107,61
35,Fannie Wuckert,0923632077,818
36,Mr. Carlton Pouros-Mayer,0325680562,967
37,Mr. Colin Green,0232503829,309
38,Andrea Windler,0745218746,212
39,George Ryan,0912545176,257
40,Carmen Harber,0470517938,932
41,Vivian Ledner,0720087653,466
42,Tina Shields,0191215833,237
43,Dr. David Balistreri,0569300887,906
44,Leonard MacGyver,0014739080,886
45,Janis Fahey,0832193222,75
46,Alison Heaney,0318843354,211
47,Gail Swift,0239754422,492
48,Fredrick Koch,0247389690,468
49,Angelo Kulas,0339863331,610
50,Dr. David Brekke,0242632495,92
51,Chad Swift Jr.,0202395259,494
52,Laura Ullrich,0869044634,113
53,Bradford Leffler,0172829713,274
54,Wanda Hodkiewicz,0179447604,398
55,Dr. Dominic Dietrich,0557778804,210
56,Ellis Nikolaus,0870898776,496
57,Miss Tanya Champlin,0352628493,748
58,Elmer Marquardt,0743803182,303
59,Betsy Jones,0287864725,213
60,Eugene Gottlieb,0090342404,72
61,Opal Reinger,0616890148,32
62,Tanya Sporer DDS,0239035818,20
63,Lisa Pollich,0033164382,304
64,Brandi Hodkiewicz III,0666618593,255
65,Rosemarie Powlowski,0850273247,861
66,Lester Jaskolski,0473381197,852
67,Brett Dare,0331382932,37
68,Sabrina Grady,0277755747,109
69,Guadalupe Wisoky,0753048565,533
70,Alan Bradtke,0768689095,396
71,Miss Mattie Hodkiewicz DVM,0554609899,355
72,Hilda West,0032893160,316
73,Clyde Heathcote,0277599387,43
74,Mack Powlowski Sr.,0058250719,661
75,Lillian Bradtke,0547305349,767
76,Daniel Jenkins-Marks,0769659842,770
77,Joanna Abshire,0835514532,74
78,Nicholas Treutel,0166154724,24
79,James Cassin,0534976665,376
80,Samuel Schaden,0050787284,283
81,Alma Littel,0614612283,743
82,Myron Kuvalis,0198631645,814
83,Harriet Brekke,438.588.4260,1000
84,Juanita Jacobson,0699799049,0
85,Shawn Sauer,0695227996,572
86,Neal Gutmann,0700141316,901
87,Jerome Wolff,0084811690,864
88,Helen White,0198791945,782
89,Alexandra Spinka,0331924608,746
90,Ben Huels,0182113345,605
91,Rachael O'Keefe-Renner,0857474674,471
92,Miranda Crooks,0791135683,781
93,Willie Swaniawski,0810449488,31
94,Floyd Murphy,0428227163,217
95,Sheri Cummings,0869723601,931
96,Bernadette Jaskolski,0088464193,171
97,Courtney Cummings,0454385439,109
98,Willie Rempel,0922213383,807
99,Lois Hayes,0090911624,20
100,Toni Schmidt,0568892072,594
101,Erick Little,0637138194,889
102,Wanda Heaney Jr.,0337102428,972
103,Casey Yost,0839463956,82
104,Clarence Hilll MD,0314565759,23
105,Delores Prohaska,0678550951,461
106,Brian Shanahan,0911686182,25
107,Terrell Jast,(794) 855-2799 x79378,239
108,Raquel Sipes,0855210445,252
109,Mr. Raul Hartmann,0149944052,322
110,Jackie Treutel,0757144679,691
111,Donna Champlin,0320860036,199
112,Pedro Witting,0011685513,973
113,Jessie Kuhn,0221112571,542
114,Jenny Douglas,0538767917,558
115,Mr. David Rath,0037193838,986
116,Manuel Legros,0953347013,951
117,Mr. Andres Swift,0129394900,237
118,Dr. Dale Harvey,0457449117,996
119,Harriet Kling,0847572073,74
120,Jesus Simonis,0030063592,142
121,Ms. Donna Casper,0360987270,176
122,Ramon Abshire,0123908205,714
123,Todd Boehm,0000498805,540
124,Eloise Nicolas,0474394285,24
125,Javier Kessler,0492420164,504
126,Heidi Hettinger,0755952778,512
127,Roberto Price MD,0138678845,594
128,Anita Kovacek-Kemmer,0653905527,262
129,Orville Ebert,0217595903,950
130,Brent Haley,0433924616,72
131,Loretta Becker,0033774563,462
132,Dennis Mitchell,0685080926,480
133,Della Barrows DVM,0496178362,221
134,Dixie Bergnaum,0922112148,961
135,Hazel Mante,0610220306,501
136,Dr. Clinton Dach,0112769843,14
137,Nadine Langosh,0857612786,753
138,Latoya Erdman MD,0709059062,725
139,Andre Gottlieb,0540028686,973
140,Anna Gerlach,0976991490,549
141,Sophia Hahn,0796342816,216
142,Kenneth Lindgren,0369824568,317
143,Caroline Zieme Sr.,0725512550,823
144,Katrina Klein,0673710054,688
145,Kathleen McKenzie,0731275669,689
146,Sean Sipes-Kirlin,0530489782,275
147,Dana Smith,0455559011,559
148,Angela Terry,0933023114,195
149,Wilson Dibbert,0016198648,238
150,Randal Stark,0783455129,331
151,Gerald Wintheiser,0404298766,556
152,Tonya Konopelski,0671542343,946
153,Irene Toy,0273287786,565
154,Mr. Daniel Lebsack,0318744651,570
155,Dave White DVM,0161349067,776
156,Stewart Schroeder,0551475597,437
157,Shaun Heller,0824227279,381
158,Keith Cummerata,0100036273,851
159,Harriet Stamm,0262727017,128
160,Deborah MacGyver,0035538254,166
161,Ethel Wilderman,0640700484,90
162,Dana Pollich,0159006381,325
163,Gregg Cormier,0193909213,813
164,Margaret Morar,0427751373,800
165,Kendra Gleason,0941351490,667
166,Annette Lueilwitz,0385757565,489
167,Doug Barrows,0198535750,266
168,Ashley Roob Jr.,0635877156,656
169,Roger Morar,0912438106,377
170,Sandra Beatty,0070734917,700
171,Luke Mayert,0961050552,172
172,Anthony Bogisich,0570095917,329
173,Margarita O'Reilly,0687678326,173
174,Mr. Sylvester Cronin-Zemlak,0435611620,955
175,Louis Hamill,0523859022,588
176,Nina Hackett II,0327338977,492
177,Amber Luettgen-Bechtelar,0050870403,313
178,Elena Christiansen,0243574742,620
179,Orville Hand,0600858204,227
180,Regina Howell,0333288648,252
181,Dr. Percy Trantow,0007440844,246
182,Sharon Mante PhD,0827351938,692
183,Ralph Kreiger,0820564134,661
184,Marcus Rau,0929188778,688
